Epochs,mIoU,mAcc,allAcc
1,0.4583,0.5394,0.8388
2,0.6727,0.7060,0.9707
3,0.6961,0.7213,0.9783
4,0.6907,0.7192,0.9764
5,0.6916,0.7191,0.9767
6,0.7067,0.7310,0.9794
7,0.7325,0.7523,0.9835
8,0.7472,0.7677,0.9844
9,0.7531,0.7745,0.9848
10,0.7575,0.7806,0.9847
